,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
146,28.61472222,77.21194444,Shram Shakti Bhawan-1,2008,15.39,16.37,13.41,13.68
147,28.61527778,77.2125,Shram Shakti Bhawan-3,2008,15.62,16.42,12.725819672131147,15.52
148,28.61666667,77.21388889,Rail Bhavan,2008,13.37,14.6,12.725819672131147,10.68
149,28.63194444,77.19861111,Birla Mandir,2008,4.58,4.14,12.725819672131147,11.25
150,28.60138889,77.225,South Block,2008,17.23,17.78,12.725819672131147,14.92
151,28.60416667,77.175,Mahabir Vansth.,2008,24.35,23.97,12.725819672131147,24.46
152,28.60611111,77.21,Nehru Park,2008,23.45,22.9,12.725819672131147,23.7
153,28.59027778,77.2125,Safdarganj Tomb,2008,14.49,13.94,12.725819672131147,15.3
154,28.59027778,77.21638889,Lodhi Garden (D)-1,2008,5.94,8.2,8.4,8.78
155,28.63611111,77.20277778,Cannaught place,2008,16.95,17.32,12.725819672131147,17.01
156,28.63277778,77.19583333,Mandir Lane Pz,2007,12.674181034482759,12.801999999999998,10.03,10.2
157,28.63611111,77.20277778,Cannaught place,2007,12.674181034482759,12.801999999999998,16.0,16.51
158,28.61166667,77.19944444,Presidents Estate-1,2007,12.674181034482759,12.801999999999998,14.78,14.95
159,28.6125,77.225,India Gate,2007,12.674181034482759,12.801999999999998,5.52,7.09
160,28.61722222,77.2,Presidents Estate-2,2007,12.674181034482759,12.801999999999998,10.09,10.4
161,28.61444444,77.24638889,Pragati Maidan,2007,2.91,3.13,12.725819672131147,3.52
162,28.62416667,77.20138889,Talkatora,2007,12.674181034482759,12.801999999999998,15.92,16.75
163,28.59027778,77.18416667,Shanti Path,2007,12.674181034482759,12.801999999999998,24.72,26.37
164,28.62916667,77.2375,Parsi Dharamsala,2007,12.674181034482759,12.801999999999998,6.9,7.39
